id,Name,mrp,components,company
102,THYRONORM 137 MCG 100'S,177.24,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………137mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
103,THYRONORM 137 MCG 100'S,177.24,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………137mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
104,THYRONORM 137 MCG 50'S,88.62,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………137mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
105,THYRONORM 125 MCG 100'S,155.45,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………125mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Yellow FCF and Quinoline Yellow WS",ABBOTT
106,THYRONORM 125 MCG 100'S,155.45,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………125mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Yellow FCF and Quinoline Yellow WS",ABBOTT
107,THYRONORM 112 MCG 100'S,145.60,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………112mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Ponceau 4R",ABBOTT
108,THYRONORM 112 MCG 50'S,72.80,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………112mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Ponceau 4R",ABBOTT
109,THYRONORM 100 120'S,145.15,Each uncoated tablet contains:                                                Thyroxine Sodium I.P.                                                                          equivalent to anhydrous                                                                      Thyroxine Sodium …………………….120 mcg                                  (Synthetic Thyroid Hormone)                                                        ,ABBOTT
110,THYRONORM 100 100'S,120.96,Each uncoated tablet contains:                                                Thyroxine Sodium I.P.                                                                          equivalent to anhydrous                                                                      Thyroxine Sodium …………………….100 mcg                                  (Synthetic Thyroid Hormone)                                                        Colour: Quinoline Yellow WS,ABBOTT
111,THYRONORM 100 100'S,120.96,Each uncoated tablet contains:                                                Thyroxine Sodium I.P.                                                                          equivalent to anhydrous                                                                      Thyroxine Sodium …………………….100 mcg                                  (Synthetic Thyroid Hormone)                                                        Colour: Quinoline Yellow WS,ABBOTT
112,THYRONORM 88 MCG 100'S,155.45,Each uncoated tablet contains:                                                           Thyroxine Sodium I.P.                                                                  equivalent to anhydrous                                                                       Thyroxine Sodium …………………….88 mcg                                  (Synthetic Thyroid Hormone)                                                             Colour: Carmoisine,ABBOTT
113,THYRONORM 88 MCG 100'S,155.45,Each uncoated tablet contains:                                                           Thyroxine Sodium I.P.                                                                  equivalent to anhydrous                                                                       Thyroxine Sodium …………………….88 mcg                                  (Synthetic Thyroid Hormone)                                                             Colour: Carmoisine,ABBOTT
114,THYRONORM 62.5 MCG 100'S,142.24,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………62.5mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
115,THYRONORM 62.5 MCG 100'S,142.24,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………62.5mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
116,THYRONORM 62.5 MCG 50'S,71.12,"Each uncoated tablet contains :
Thyroxine Sodium I.P.
equavalent to anhydrous
Thyroxine Sodium………………………62.5mcg 
(Synthetic Thyroid Hormone)                                                           Colour: Quinoline Yellow WS",ABBOTT
117,THYRONORM 50 120'S,119.61,Each uncoated tablet contains:                                                        Thyroxine Sodium I.P.                                                                      equivalent to anhydrous                                                                      Thyroxine Sodium …………………….50 mcg                                     (Synthetic Thyroid Hormone)                               ,ABBOTT
118,THYRONORM 50 100'S,99.62,Each uncoated tablet contains:                                                        Thyroxine Sodium I.P.                                                                      equivalent to anhydrous                                                                      Thyroxine Sodium …………………….50 mcg                                     (Synthetic Thyroid Hormone)                               ,ABBOTT
119,THYRONORM 50 100'S,99.62,Each uncoated tablet contains:                                                        Thyroxine Sodium I.P.                                                                      equivalent to anhydrous                                                                      Thyroxine Sodium …………………….50 mcg                                     (Synthetic Thyroid Hormone)                               ,ABBOTT
120,THYRONORM 75 MCG 120'S,158.47,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………75 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Brilliant Blue FCF,ABBOTT
121,THYRONORM 75 MCG 100'S,131.37,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………75 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Brilliant Blue FCF,ABBOTT
122,THYRONORM 75 MCG 100'S,131.37,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………75 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Brilliant Blue FCF,ABBOTT
123,THYRONORM 25 120'S,159.76,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………25 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Sunset Yellow FCF,ABBOTT
124,THYRONORM 25 100'S,133.13,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………25 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Sunset Yellow FCF,ABBOTT
125,THYRONORM 25 100'S,133.13,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ………………………25 mcg                    (Synthetic Thyroid Hormone)                                      Colour: Sunset Yellow FCF,ABBOTT
126,THYRONORM 12.5MCG 120'S,164.91,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ……………………… 12.5 mcg                    (Synthetic Thyroid Hormone)                                      ,ABBOTT
127,THYRONORM 12.5MCG 100'S,137.42,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ……………………… 12.5 mcg                    (Synthetic Thyroid Hormone)                                      ,ABBOTT
128,THYRONORM 12.5MCG 100'S,137.42,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ……………………… 12.5 mcg                    (Synthetic Thyroid Hormone)                                      ,ABBOTT
129,THYRONORM 12.5MCG 50'S,68.71,Each uncoated tablet contains:                                    Thyroxine Sodium I.P.                                         equivalent to anhydrous                                             Thyroxine Sodium ……………………… 12.5 mcg                    (Synthetic Thyroid Hormone)                                      ,ABBOTT
130,HYTRIN 1 MG 10'S,150.63,"Each uncoated tablets contains :
Terazosin Hydrochloride equavalent
to Terazosin 1mg Excipients q.s. ",ABBOTT
131,HYTRIN 2 MG 10'S,223.20,"Each uncoated tablets contains :
Terazosin Hydrochloride equavalent
to Terazosin 2mg Excipients q.s. 
Contains Sunset Yellow FCF Lake as Colourant",ABBOTT
132,HYTRIN 5 MG 10'S,406.00,"Each uncoated tablets contains :
Terazosin Hydrochloride equavalent
to Terazosin 5mg Excipients q.s. 
Contains Sunset Yellow FCF Lake as Colourant",ABBOTT
133,OBIMET SR 500 TAB 15'S-SALES,28.99,"Each uncoated sustained release tablet Contains :
Metfomin Hydrochloride IP…………...500 mg",ABBOTT
134,OBIMET SR 500 TAB 15'S-SALES,28.99,"Each uncoated sustained release tablet Contains :
Metfomin Hydrochloride IP…………...500 mg",ABBOTT
135,OBIMET SR 500 TAB 15'S-SALES,28.99,"Each uncoated sustained release tablet Contains :
Metfomin Hydrochloride IP…………...500 mg",ABBOTT
136,OBIMET SR 1000 TAB 15'S-SALES,55.49,"Each uncoated sustained release tablet Contains :
Metfomin Hydrochloride IP…………1000 mg",ABBOTT
137,OBIMET SR 1000 TAB 15'S-SALES,55.49,"Each uncoated sustained release tablet Contains :
Metfomin Hydrochloride IP…………1000 mg",ABBOTT
138,OBIMET GX 1 FORTE 10'S,60.00,"Each uncoated bilayered tablet contains :                             Glimepiride IP ….............……1mg,               Methformin Hydrochloride I.P. …..1000mg  (In sustained released form)         Excipients ……………….q.s.                                                           Colour : Ferric Oxide USP - NF (Red)  ",ABBOTT
139,OBIMET GX 2 FORTE 10'S,80.00,"Each uncoated bilayered tablet contains :                             Glimepiride IP ….............……2mg,               Methformin Hydrochloride I.P. …..1000mg  (In sustained released form)         Excipients ……………….q.s.                                                          Colour : Ferric Oxide USP - NF (Yellow)  ",ABBOTT
140,OBIMET GX 1 TAB 15'S-SALES,100.65,"Composition: 
Each uncoated bilayered tablet contains:
Glimepiride USP                              1 mg                               Metformin Hydrochloride IP        500mg                         (in sustained release form )
Excipients                                             q.s. 
Colour  : Red oxide of Iron. ",ABBOTT
141,OBIMET GX 1 TAB 15'S-SALES,91.50,"Composition: 
Each uncoated bilayered tablet contains:
Glimepiride USP                              1 mg                               Metformin Hydrochloride IP        500mg                         (in sustained release form )
Excipients                                             q.s. 
Colour  : Red oxide of Iron. ",ABBOTT
142,OBIMET GX 2 TAB 15'S-SALES,127.50,"Composition: 
Each uncoated bilayered tablet contains:
Glimepiride USP                              2 mg                               Metformin Hydrochloride IP        500mg                         (in sustained release form )
Excipients                                             q.s. 
Colour  : Yellow oxide of Iron, Titanium dioxide IP. ",ABBOTT
143,OBIMET GX 2 TAB 15'S-SALES,127.50,"Composition: 
Each uncoated bilayered tablet contains:
Glimepiride USP                              2 mg                               Metformin Hydrochloride IP        500mg                         (in sustained release form )
Excipients                                             q.s. 
Colour  : Yellow oxide of Iron, Titanium dioxide IP. ",ABBOTT
144,THYROCAB 5 MG 100'S,192.18,"Each uncoated tablet contains:
Carbimazole IP…………………………...5mg",ABBOTT
145,THYROCAB 5 MG 100'S,192.18,"Each uncoated tablet contains:
Carbimazole IP…………………………...5mg",ABBOTT
146,THYROCAB 10 MG 100'S,374.41,"Each uncoated tablet contains:
Carbimazole IP………………………….10mg",ABBOTT
147,THYROCAB 10 MG 100'S,374.41,"Each uncoated tablet contains:
Carbimazole IP………………………….10mg",ABBOTT
148,THYROCAB 10 MG 100'S,374.41,"Each uncoated tablet contains:
Carbimazole IP………………………….10mg",ABBOTT
149,THYROCAB 20 MG 100'S,779.00,"Each uncoated tablet contains:
Carbimazole IP………………………....20mg",ABBOTT
150,THYROCAB 20 MG 100'S,779.00,"Each uncoated tablet contains:
Carbimazole IP………………………....20mg",ABBOTT
151,THYROWEL CAPSULES 10'S,95.00,"Composition: 
Each Soft Gelatin Capsule contains:
Ferrous Fumarate I.P.equivalent  to          T065                               elemental iron            30mg                                                                   Folic Acid  I.P.             300mcg                                                        Vitamine B12 I.P.         1mcg                                                                              L-Tyrosine USP        250mg                                                              Selenious Acid USP        equivalent to elemental Selenium   60mcg        Zinc Sulphate Monohydrate USP  equivalent to elemental Zinc15mg
Excipients                                             q.s. 
Approved colours used in capsule shell ",ABBOTT
152,SURBEX GOLD 10'S,102.30,"Each soft gelatin capsule contains:                          Folic acid I.P. ……………………………………..1.5 mg         Cyanocobalamin I.P. ……………15 mcg        Vitamin B6 (Pyridoxine Hydrochloride) I.P. ……3 mg                                                 Chromium Picolinate USP…………………..250 mcg    Selenious Acid USP equivalent to element Selenium …………55 mcg             Zinc Sulfate Monohydrate USP equivalent to element Zinc ………15 mg       Manganese Sulfate USP equivalent to elemental Manganese …2 mg                Lycopene (10%) ………5 mg Light Magnesium Oxide I.P. equivalent to elemental Magnesium …40 mg    Eicosapentaenoic acid .......90mg  Docosahexaenoic acid ...60mg    Alpha Lipoic acid USP...100mg     Excipients .....q.s.
",ABBOTT
153,TRIOBIMET 1 10'S  - Ban Product by NPPA,88.50,"Each ml contains:
Metformin Hydrochloride I.P. …………..500mg                                        (In sustained release form)                                                   Pioglitazone Hydrochloride I.P.                                                    equivalent to Pioglitazone …….. 15mg                                     Glimepride USP  …………1mg                                                              Excipients ………………….. q.s.                                                                     Colour: Lake of Erythrosine
",ABBOTT
154,TRIOBIMET 2 10'S - Ban Product by NPPA,114.50,"Each ml contains:
Metformin Hydrochloride I.P. …………..500mg                                        (In sustained release form)                                                   Pioglitazone Hydrochloride I.P.                                                    equivalent to Pioglitazone …….. 15mg                                     Glimepride USP  …………2mg                                                              Excipients ………………….. q.s.                                                                     Colour: Lake of Quinoline Yellow
",ABBOTT
155,OBIMET TAB 15'S,22.82,"Each uncoated tablet contains :
Metfomin Hydrochloride IP…………...500 mg",ABBOTT
156,OBIMET V 0.2 (10'S),66.52,Each uncoated bilayered tablet contains :                          Voglibose J.P.       …………….........….. 0.2mg                                                Metformin Hydrochloride I.P. …..…..… 500mg                              (In sustained release form)                               Excipients .......................................q.s.                             Colour: Lake Quinoline Yellow,ABBOTT
157,OBIMET V 0.3 (10'S),66.52,Each uncoated bilayered tablet contains :                          Voglibose J.P.       …………….........….. 0.3mg                                                Metformin Hydrochloride I.P. …..…..… 500mg                              (In sustained release form)                               Excipients .......................................q.s.                             Colour: Lake Indigo Carmine,ABBOTT
158,THYROCAL D3 30'S,213.40,"Each film coated tablet contains :
Calcium Citrate Malate equivalent to element Calcium ....... 250mg                      Vitamin D3 IP ..….. 400 IU (as stabilised D3)               Excipients                     q.s.                                                              Colours :  Titanium Dioxide I.P.            ",ABBOTT
159,ZOLFRESH CR 6.25MG 10'S,101.00,"Each film coated bilayered tablet contains:
Zolpidem Tartrate I.P …………. 6.25 mg
Colours : Titanium Dioxide I.P. & Iron Oxide Red  ",ABBOTT
160,ZOLFRESH CR 12.5MG 10'S,126.00,"Each film coated bilayered tablet contains:
Zolpidem Tartrate I.P …………. 12.50 mg
Colours : Iron Oxide Red , Titanium Dioxide I.P.  &  Lake Indigo Carmine",ABBOTT
161,ZOLFRESH 10MG 15'S,128.67,"Each film coated tablet contains :
Zolpidem Tartrate BP……………………10 mg
Colour Titanium Dioxide",ABBOTT
162,ZOLFRESH 5MG 15'S,81.93,"Each film coated tablet contains :
Zolpidem Tartrate BP……………………5 mg
Colour Titanium Dioxide",ABBOTT
163,ZOLFRESH 10MG 10'S,85.78,"Each film coated tablet contains :
Zolpidem Tartrate BP……………………10 mg
Colour Titanium Dioxide",ABBOTT
164,ZOLFRESH 5MG 10'S,54.62,"Each film coated tablet contains :
Zolpidem Tartrate BP……………………5 mg
Colour Titanium Dioxide",ABBOTT
165,PROTHIADEN M 50 SALES 15'S,162.75,"Each flim-coated tablet contains :                             Dosulepin Hydrochloride IP ………50mg,        Methylcobalamin  …..1500mcg             Colours : Titanium Dioxide I.P. and Ponceau 4R",ABBOTT
166,PROTHIADEN M 50 SALES 10'S,99.00,"Each flim-coated tablet contains :                             Dosulepin Hydrochloride IP ………50mg,        Methylcobalamin  …..1500mcg             Colours : Titanium Dioxide I.P. and Ponceau 4R",ABBOTT
167,PROTHIADEN M 15s,219.00,"Each flim-coated tablet contains :                             Dosulepin Hydrochloride IP ………75mg,        Methylcobalamin  …..1500mcg             Colours : Titanium Dioxide I.P. and Ponceau 4R",ABBOTT
168,PROTHIADEN M 10'S,146.00,"Each flim-coated tablet contains :                             Dosulepin Hydrochloride IP ………75mg,        Methylcobalamin  …..1500mcg             Colours : Titanium Dioxide I.P. and Ponceau 4R",ABBOTT
169,PROTHIADEN 25 MG 15'S,91.50,"Each film coated tablet contains:
Dothiepin Hydrocloride I.P……………..25mg
Contains permitted colours 
Ponceau 4R and Titanium Dioxide",ABBOTT
170,PROTHIADEN 25 MG 10'S,61.00,"Each film coated tablet contains:
Dothiepin Hydrocloride I.P……………..25mg
Contains permitted colours 
Ponceau 4R and Titanium Dioxide",ABBOTT
171,PROTHIADEN 50 MG 15'S,180.00,"Each film coated tablet contains:
Dosulepin Hydrocloride I.P……………..50mg  (formerlyDothiepin Hydrocloride I.P)
Excipients  …………………..q.s.                                                                   Colour : Sunset Yellow FCF  and Titanium Dioxide I.P.",ABBOTT
172,PROTHIADEN 50 MG 10'S,120.00,"Each film coated tablet contains:
Dosulepin Hydrocloride I.P……………..50mg  (formerlyDothiepin Hydrocloride I.P)
Excipients  …………………..q.s.                                                                   Colour : Sunset Yellow FCF  and Titanium Dioxide I.P.",ABBOTT
173,PROTHIADEN 75 MG 15'S,190.50,"Each film coated tablet contains:
Dothiepin Hydrocloride I.P……………..75mg
Contains permitted colours 
Ponceau 4R and Titanium Dioxide",ABBOTT
174,PROTHIADEN 75 MG 10'S,127.00,"Each film coated tablet contains:
Dothiepin Hydrocloride I.P……………..75mg
Contains permitted colours 
Ponceau 4R and Titanium Dioxide",ABBOTT
175,PROTHIADEN 50 MG 30'S,217.50,"Each film coated tablet contains:
Dosulepin Hydrocloride I.P……………..50mg  (formerlyDothiepin Hydrocloride I.P)
Excipients  …………………..q.s.                                                                   Colour : Sunset Yellow FCF  and Titanium Dioxide I.P.",ABBOTT
176,PROTHIADEN 75 MG 30'S,239.50,"Each film coated tablet contains:
Dothiepin Hydrocloride I.P……………..75mg
Contains permitted colours 
Ponceau 4R and Titanium Dioxide",ABBOTT
177,KINETONE ADVANCE 200 ML,142.39,"Each 15 ml (1 tablespoonful approx.) contains:
Pyridoxine Hydrochloride IP ..............        1.5 mg
Nicotinamide IP     ..........................          26 mg
Vitamin B12 IP      ..........................          1 mcg
Iron as (Ferrous Lactate) .................          18 mg
Zinc (as Zinc Sulphate IP)  ..............        9.23 mg
Folic Acid IP    ...............................        300 mcg
Magnesium (as Chloride) IP .............          30 mg
Calcium Gluconate IP  ....................         132 mg
Flavoured Syrupy base
Colour: Tartrazine Yellow Supra
",ABBOTT
178,ZILSA 5 GM,120.00,"Each gram contains :                             Tioconazole BP ………65mg,                           Gel base  …..q.s.             
",ABBOTT
179,DUVADILAN TABLETS 10MG 50'S,114.00,"Each uncoated tablet contains:
Isoxsuprine Hydrochloride IP 10 mg
Excipients                                    q.s.
",ABBOTT
180,"SnapitTM
Sumatriptan & Naproxen Tablets",79.00,Each film coated tablet contains :  Sumatriptan I.P.                         85mg                Naproxen I.P.                           500mg                                                        Excipients           q.s.                          Colours : Lake of Quinoline Yellow & Titanium Dioxide I.P.,ABBOTT
181,VERTIN TABLETS 8 MG 10'S,66.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 8 mg
Excipients                                 q.s.",ABBOTT
182,VERTIN TABLETS 8 MG 10'S,66.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 8 mg
Excipients                                 q.s.",ABBOTT
183,VERTIN TABLETS 8 MG 10'S,63.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 8 mg
Excipients                                 q.s.",ABBOTT
184,VERTIN TABLETS 8 MG 10'S,63.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 8 mg
Excipients                                 q.s.",ABBOTT
185,VERTIN TABLETS 16MG 10'S--NEW,122.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 16 mg
Excipients                                 q.s.",ABBOTT
186,VERTIN TABLETS 16MG 10'S--NEW,122.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 16 mg
Excipients                                 q.s.",ABBOTT
187,VERTIN TABLETS 16MG 10'S--NEW,122.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 16 mg
Excipients                                 q.s.",ABBOTT
188,VERTIN TABLETS 16MG 10'S--NEW,119.50,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 16 mg
Excipients                                 q.s.",ABBOTT
189,VERTIN TABLETS 16MG 15'S,183.75,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 16 mg
Excipients                                 q.s.",ABBOTT
190,VERTIN TABLETS 24MG 10'S--NEW,160.00,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 24 mg
Excipients                                 q.s.",ABBOTT
191,VERTIN TABLETS 24MG 10'S--NEW,176.00,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 24 mg
Excipients                                 q.s.",ABBOTT
192,VERTIN TABLETS 24MG 10'S--NEW,176.00,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 24 mg
Excipients                                 q.s.",ABBOTT
193,VERTIN TABLETS 24MG 15'S,264.00,"Each uncoated tablet contains:
Betahistine Hydrochloride  IP 24 mg
Excipients                                 q.s.",ABBOTT
194,DUVADILAN INJECTION 6X2 ML,123.00,"Each ml. contains:
Isoxsuprine Hydrochloride IP 5 mg
Water for Injection   IP                q.s
",ABBOTT
195,SOLSPRE,307.31,"Sodium Chloride IP     0.9% w/v
in Purified Water IP
Aerosol Propellant                 q.s
",ABBOTT
196,ARACHITOL INJECTION 3L 6X1ML,199.32,"Each ml. contains:
Cholecalciferol IP 300000 IU  (7.5 mg.)
Arachis oil IP                      q.s.
",ABBOTT
197,ARACHITOL INJECTION 6L 6X1ML,253.44,"Each ml. contains:
Cholecalciferol IP 600000 IU  (15.0 mg.)
Arachis oil IP                      q.s.
",ABBOTT
198,DUVADILAN RETARD CAPS 10'S,97.35,"Each capsule contains:
Isoxsuprine Hydrochloride  (sustained release) 
equivalent to 40 mg of Isoxsuprine
Hydrochloride IP                                                                                 Excipients    q.s.                                                                                    Capsule shell contains approved colours",ABBOTT
199,CLOME 25 MG 10'S - OMP,61.00,"Each uncoated tablet contains:
Clomifene Citrate  IP          25 mg
Excipients                            q.s
",ABBOTT
200,CLOME 50 MG - 5'S,37.81,"Each uncoated tablet contains:
Clomifene Citrate  IP          50 mg
Excipients                            q.s
",ABBOTT
201,CLOME 100 MG 10'S - OMP,118.85,"Each uncoated tablet contains:
Clomifene Citrate  IP          100 mg
Excipients                            q.s
",ABBOTT
202,PANKREOFLAT TABLETS 10'S,102.00,"Each enteric coated tablet contains:
Pancreatin IP                        170mg
Activated Dimethicone IP      80mg
Excipients                                  q.s.                                                        Colour: Titanium dioxide IP",ABBOTT
203,PANKREOFLAT LIQUID,120.00,"Each 5ml contains :      Alpha Galactosidase    25mg,   Diastase(1:1200)        50mg,  (Fungal Diastasederived from Aspergillus oryzae)   [Digests not less than 60g of cooked starch]   Pepsin(1:3000)    10mg,  [Digests not less than 30g of coagulated egg albumin],  Lipase   10mg, Flavoured Liquid base   q.s.",ABBOTT
204,COLOSPA TABLETS 135 MG 10'S,135.00,"Each sugar coated tablet contains :
Mebeverine Hydrochloride IP 135 mg
Excipients                                       q.s.",ABBOTT
205,Colospa X  Tabs 15s,208.50,Each film coated tablet contains: Mebeverine Hydrochloride I.P.     135mg        Chlordiazepoxide I.P.        5mg        Colour: Titanium Dioxide I.P.,ABBOTT
206,ELDICET TABLETS 6'S,128.00,"Each film coated tablet contains:
Pinaverium Bromide 50 mg 
Excipients                    q.s
Colour: Titanium dioxide  IP                                  ",ABBOTT
207,DUPHASTON TABLETS 10MG 10'S (F.C.),505.50,"Each film coated tablet contains:
Dydrogesterone BP         10 mg
Excipients                            q.s.
Colour: Titanium dioxide IP",ABBOTT
208,DUPHASTON TABLETS 10MG 10'S (F.C.),505.50,"Each film coated tablet contains:
Dydrogesterone BP         10 mg
Excipients                            q.s.
Colour: Titanium dioxide IP",ABBOTT
209,CREON 10000 CAPSULES 10'S,300.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 150mg
Capsule shell contains approved colours ",ABBOTT
210,CREON 10000 CAPSULES 10'S,300.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 150mg
Capsule shell contains approved colours ",ABBOTT
211,CREON 25000 CAPSULES 10'S,677.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 300mg
Capsule shell contains approved colours ",ABBOTT
212,CREON 25000 CAPSULES 10'S,677.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 300mg
Capsule shell contains approved colours ",ABBOTT
213,CREON 40000  CAPSULES 10'S,876.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 400mg
Capsule shell contains approved colours ",ABBOTT
214,CREON 40000  CAPSULES 10'S,876.00,"Each capsule contains:
Pancreatin Minimicrospheres*
equivalent to Pancreatin IP 400mg
Capsule shell contains approved colours ",ABBOTT
215,COLOSPA RETARD,192.50,"Each retard capsule contains:
Mebeverine Retard Granules   
equivalent to 200 mg of                                                          Mebeverine Hydrochloride IP                                                       Capsule shell contains approved colours",ABBOTT
216,COLOSPA RETARD,192.50,"Each retard capsule contains:
Mebeverine Retard Granules   
equivalent to 200 mg of                                                          Mebeverine Hydrochloride IP                                                       Capsule shell contains approved colours",ABBOTT
217,Pro-9   Hydorxyprogesterone Injection I.P.    500mg/2ml,220.00,"Each ml contains :             Hydorxyprogesterone Caproate I.P. 250mg,                            Benzyl Alcohol I.P.         0.02ml              (As Preservative)",ABBOTT
218,Pro-9   Hydorxyprogesterone Injection I.P.    500mg/2ml,130.00,"Each ml contains :             Hydorxyprogesterone Caproate I.P. 250mg,                            Benzyl Alcohol I.P.         0.02ml              (As Preservative)",ABBOTT
219,Cystofert                                                    Inositol and Folic Acid Tablets,250.00,Each serving per uncoated chewable tablet contains: (Approx.)          Myo-Inositol                 1100mg        Inositol                    27.6mg                     (as D-Chiro-Inositol)                       Folic Acid              100mcg,ABBOTT
220,EBASIL 10 MG - 10'S,73.50,"Each film coated tablet contains:
Ebastine BP          10 mg
Colour : Titanium Dioxide  IP",ABBOTT
221,EBASIL 20 MG - 10'S,99.50,"Each film coated tablet contains:
Ebastine BP          20 mg
Colour : Titanium Dioxide  IP",ABBOTT
222,ROWASA,20.00,"Each sachet contains:
Mesalamine USP………..500mg  
(as pellets)                                                                                              Excipients   q.s.",ABBOTT
223,ROWASA 1 GM,40.50,"Each sachet contains:
Mesalamine USP………..1g  
(as pellets)                                                                                              Excipients   q.s.",ABBOTT
224,ACUVERT  TABLETS 9'S,46.00,"Each uncoated orally disintegrating tablet contains :
Prochlorperazine Maleate IP      5mg
Excipients                                       q.s. ",ABBOTT
225,VERTIN OD 24 SALE (7'S),145.75,"Each film coated sustained release tablet contains:
Betahistine Hydrochloride  IP …. 24 mg
Excipients                                       q.s.                                                   Colour : Titanium dioxide IP",ABBOTT
226,VERTIN OD 32 SALE (7'S),148.00,"Each film coated sustained release tablet contains:
Betahistine Hydrochloride  IP …. 32 mg
Excipients                                       q.s.                                                   Colour : Titanium dioxide IP",ABBOTT
227,VERTIN OD 48 SALE (7'S),223.50,"Each film coated sustained release tablet contains:
Betahistine Hydrochloride  IP …. 48 mg
Excipients                                       q.s.                                                   Colour : Titanium dioxide IP",ABBOTT
228,ARACHITOL O,236.00,"Each film coated tablet contains :
Calcium Citrate Malate equivalent  to elemental                Calcium               250 mg
Vitamin Dз IP                            400 IU                 (as stabilised Vitamin Dз)                                                                                             Excipients                                       q.s.                                                          Colour : Titanium Dioxide IP",ABBOTT
229,SOLFE AZ 10'S SALES,95.00,"Each flim-coated tablet contains : 
Ferrous Ascorbate                                      equivalent to Element Iron  ……100 mg
Folic AcidI.P.               ………1.5mg                                                         Cyanocobalamin I.P.   ……..15mcg                              Zinc Sulphate Monohydrate I.P.     equivalent to Elemental Zinc  .... 22.5mg                Excipients                              q.s.            Colours: Lake of Ponceau 4R , Lake of Erythrosine and Titanium Dioxide I.P.",ABBOTT
